product_id,name,category,price,stock,description,image_url
P011,LED Light,Electronics,25,4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJT-_dUOKD7cJbQyaldXR_9REZr2PMv13aIA&s
P009,Samsung Galaxy watch ultra LTE 47MM,Wearables,500,200,Samsung Galaxy watch ultra LTE 47MM,https://rave-services.myflutterwave.com/v1/services/filestack/download/jCQhJoWRuLZkW0dCXpRA?width=430&height=430&resize=1&fit=crop&align=center
P005,Noise-Cancelling Headphones,Electronics,129.99,1,Over-ear headphones with active noise cancellation,https://rave-services.myflutterwave.com/v1/services/filestack/download/WdfyJ6r4TOaeUMoIC6iQ?width=430&height=430&resize=1&fit=crop&align=center
P006,Bluetooth Speaker,Audio,49,11,Portable waterproof speaker with 10-hour battery life,https://rave-services.myflutterwave.com/v1/services/filestack/download/6ZG68DVGTKOy97Y2t9G4?width=430&height=430&resize=1&fit=crop&align=center
P007,Smartphone Tripod,Accessories,24.99,100,Lightweight tripod with adjustable height for smartphones,https://rave-services.myflutterwave.com/v1/services/filestack/download/bxgXT2UjSVC7fE2wXUj3?width=430&height=430&resize=1&fit=crop&align=center
P008,USB-C Hub,Accessories,34.99,5,Multiport adapter with HDMI, USB 3.0, and SD card reader,https://rave-services.myflutterwave.com/v1/services/filestack/download/DViXdLNNRiWnWFNU1NFg?width=430&height=430&resize=1&fit=crop&align=center
P001,Wireless Mouse,Electronics,19.99,120,A sleek, ergonomic wireless mouse with adjustable DPI,https://rave-services.myflutterwave.com/v1/services/filestack/download/QQEni8rDR1izPQetopp7?width=430&height=430&resize=1&fit=crop&align=center
P002,Smartwatch Series 5,Wearables,249.99,10,Fitness tracking smartwatch with heart rate monitor,https://rave-services.f4b-flutterwave.com/v1/services/filestack/download/wWEzsaHpQSW7hTvy0h7F?width=430&height=430&resize=1&fit=crop&align=center
P003,Gaming Chair,Furniture,199.99,25,Ergonomic gaming chair with lumbar support and recline function,https://rave-services.myflutterwave.com/v1/services/filestack/download/8cDrFEXQ0u1pbw3rGxxN?width=430&height=430&resize=1&fit=crop&align=center
P004,Mechanical Keyboard,Electronics,59.99,80,RGB backlit mechanical keyboard with blue switches,https://rave-services.f4b-flutterwave.com/v1/services/filestack/download/hn4y71FQMqmuukWSLPto?width=430&height=430&resize=1&fit=crop&align=center